Rank,Module genes,Cancer type,p,FDR
225,"ADIPOR2, ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF4, ATF7IP, AUP1, BAZ2B, BCL11A, BCL2, C1orf27, CCND3, CITED2, CSTF2T, DERL2, DMXL1, DNAJB11, DNAJC3, DOLPP1, DPM1, DPM2, DPM3, ERN1, FAF2, FBXO7, FLI1, GAB2, GFI1, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, ID2, IKBKB, IKZF1, IKZF3, IRF4, IRF8, JADE2, KCNQ5, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MANF, MEF2C, MEF2D, MEIS2, MPDU1, MYB, NCKAP1L, NFKB1, OST4, PBX2, PDE7A, PIM1, PLCG2, PMM2, POU2AF1, PRDM1, PTPN2, PTPRA, REEP4, RPS27L, RRM2B, SEC63, SEL1L, SERP1, SETDB1, SIK3, SLC33A1, SLC5A3, SMAD7, SOS1, SPI1, SPRED2, STAT5B, SURF4, SYVN1, TALDO1, TCF3, TRIM24, TRIM33, UBA5, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, WSB1, XBP1, ZEB2, ZFP64",Skin,1.49E-05,0.001904
226,"ABI1, ACTB, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH2, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD9, CAB39, CAND1, CDC42, CDH2, COL4A3BP, CRK, CRKL, CTNNA1, CUL3, CUL5, DCUN1D3, DLG5, DOCK5, ELMO2, EPHA2, ERRFI1, FAM49B, FERMT2, FHL2, FRMD6, FRYL, GNA13, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB4, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARD3, PARD6B, PARVA, PDCD10, PICALM, PKN2, PLXNA1, PPM1F, PTEN, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOG, RIC8A, RNF146, RNF7, RSU1, SAV1, SENP8, SGK223, SPTSSA, SRGAP1, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, UBE2F, UBE2R2, VCL, WASF2, WWC1, WWTR1, YAP1, YES1",Pancreas,1.50E-05,0.003914
227,"ACTB, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BCAR1, BTBD9, CDC42, CRB3, CRKL, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, LATS2, LLGL2, LPAR2, LRRFIP2, LUZP1, MAP4K4, MKL2, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, S1PR2, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1, YWHAE, YWHAG, YWHAQ, YWHAZ",Ovary,1.50E-05,0.00899
228,"ACTB, ADCY6, AHR, AIP, AMOTL2, ANKMY2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARNT, ARPC4, BTBD9, CAND1, CDC42, COL4A3BP, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM129B, FAM49B, FHL2, FRYL, GNA13, HSP90AB1, HSPA4, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, KLF6, LATS2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKACA, PRKCI, PTGES3, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASAL2, RASSF8, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTSSA, STIP1, STK17B, STK24, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TMOD3, TP53BP2, TRIO, VCL, WWC1, WWTR1",Ovary,1.56E-05,0.00899
229,"APCDD1L, ATP9A, BMP7, C20orf197, CASS4, FAM209A, FAM209B, KCNB1, NPEPL1, PCK1, PMEPA1, SULF2, TFAP2C",Skin,1.57E-05,0.001937
230,"CNIH1, RAB1A, RAB1B, SEC23IP, TRAPPC12, TRAPPC13, TRIP11",Kidney,1.57E-05,0.005141
231,"ASH1L, ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TRPS1, ZNF652",Skin,1.59E-05,0.001937
232,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ANKS3, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CCNE1, CDC42, CDH1, CDH2, CERS2, CHUK, COL4A3BP, CRB3, CRK, CRKL, CSNK2A1, CTNNA1, CTNND1, DLG5, DOCK5, ELMO2, F11R, FAM49B, FERMT1, FERMT2, FNDC3B, FRYL, GNA13, HNF1B, ILK, INADL, IQGAP1, IRF6, ITGA3, ITGAV, ITGB1, ITGB5, KIDINS220, KIRREL, KLF6, KMT2D, LATS2, LIMS1, LLGL2, LPAR1, LPAR2, MAP4K4, MARK2, MARK3, MECOM, MESDC2, MLLT4, MOB4, MPP5, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAX8, PDCD10, PDCL, PHACTR4, PIGW, PKN2, PLXNA1, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAB11FIP1, RAC1, RALGAPB, RAPGEF1, RAPGEF2, RAPH1, RASAL2, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, RSU1, SAV1, SGK223, SPTLC2, SPTSSA, TAOK1, TAX1BP3, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWTR1, XPR1, YES1",Pancreas,1.62E-05,0.004029
233,"GOSR2, SAR1A, SEC23IP, SEC31A, TRAPPC12, TRAPPC13",Kidney,1.67E-05,0.005141
234,"FAM60A, IGF2BP1, LIN28B, MBTD1, SOX11, TGIF2, TRIM71",Liver,1.68E-05,0.008807
235,"CSF2RB, ETV6, GFI1B, JAK2, ZFPM1",Bone,1.71E-05,0.012795
236,"AARD, ABRA, ADAM2, ADCK5, ADCY8, ADHFE1, ADRB3, AGO2, ANGPT1, ANK1, ANKRD46, ANXA13, AP3M2, ARC, ARFGEF1, ARHGAP39, ASAP1, ASB3, ASPH, ATAD2, ATP6V0D2, ATP6V1C1, AZIN1, BAALC, BAG4, BAI1, BHLHE22, BOP1, C8orf22, C8orf33, C8orf34, C8orf37, C8orf44, C8orf46, C8orf76, C8orf82, C8orf88, C9orf171, C9orf50, CA1, CA13, CA2, CA3, CA8, CALB1, CCDC166, CCNE2, CDH17, CDK5, CEBPD, CHCHD2, CHCHD7, CHMP4C, CHRAC1, CHRNB3, CLIC3, CLVS1, CNBD1, CNGB3, COL14A1, COL22A1, COLEC10, COMMD5, COX6C, CPA6, CPNE3, CPQ, CRH, CRISPLD1, CRYBB3, CSMD3, CSPP1, CTHRC1, CTRB2, CYC1, CYHR1, CYP11B1, CYP11B2, CYP7A1, DCAF13, DCAF4L2, DCSTAMP, DCXR, DECR1, DENND3, DEPDC1, DEPTOR, DERL1, DGAT1, DNAJC5B, DPY19L4, DPYS, DSTN, DUSP1, DVL3, E2F5, EAF2, EBAG9, ECE2, EEF1D, EFCAB1, EIF4EBP1, ELF3, EMC2, ENPP2, ERICH5, ESRP1, EXT1, EYA1, FABP12, FABP4, FAM110B, FAM110D, FAM135B, FAM150A, FAM49B, FAM83A, FAM83H, FAM84B, FAM91A1, FAM92A1, FAXC, FBXL6, FBXO32, FBXO38, FBXO43, FER1L6, FGFR3, FOXH1, FSBP, FUT10, FZD3, FZD6, GABRP, GDAP1, GDF6, GEM, GGH, GIT2, GLI4, GML, GNAS, GNPNAT1, GPAA1, GPIHBP1, GPR124, GPR20, GPT, GRHL1, GRHL2, GRINA, GSDMC, GSDMD, H2AFY2, HAS2, HDHD2, HEY1, HGH1, HGSNAT, HNF4G, HRSP12, HSD17B4, HSF1, HTR3E, HTRA4, IDO1, IL7, IMPA1, IMPAD1, INTS8, JPH1, KCNB2, KCNK9, KCNQ3, KCNS2, KCNV1, KHDRBS3, KIAA0196, KIFC2, KLF10, KLHL38, LACTB2, LAPTM4B, LETM2, LRP12, LRRC14, LRRC24, LRRC6, LRRCC1, LSM1, LY6D, LY6E, LY6H, LY6K, LY96, LYN, LYNX1, LYPD2, LYPLA1, MAF1, MAFA, MAPK15, MATN2, MCMDC2, MFSD3, MINOS1, MMP16, MOS, MROH1, MROH6, MRPL13, MRPL15, MRPS28, MSMP, MSRA, MT2A, MTDH, MTERF3, MTFR1, MTSS1, MYBL1, NAPRT, NBN, NCALD, NCOA2, NDRG1, NDUFAF6, NDUFB9, NECAB1, NETO2, NFKBIA, NIPAL2, NKAIN3, NKX6-3, NLRP1, NLRP13, NOV, NPBWR1, NRBP2, NSMAF, NSMCE2, NTAN1, NUDCD1, OC90, ODF1, OPRK1, OSGIN2, OSR2, OTP, OTUD6B, OXR1, PAG1, PARP10, PCMTD1, PDE7A, PDP1, PENK, PEX2, PHF20L1, PI15, PKHD1L1, PKIA, PLAG1, PLAT, PLEC, PLEKHF2, PLXNC1, PMP2, POMK, POP1, POU5F1B, PPP1R16A, PPP1R42, PRDM14, PREX2, PRSS55, PSCA, PSKH2, PTDSS1, PTP4A3, PXDNL, PYCRL, RAB2A, RAD54B, RALYL, RB1CC1, RBM12B, RDH10, RFPL4AL1, RGS20, RGS22, RHPN1, RIMS2, RIPK2, RMDN1, RNF139, RNF170, RNF19A, RP1, RPL30, RRM2B, RSPO2, RUNX1T1, SAMD12, SBSPON, SCRIB, SCRT1, SCX, SDC2, SDCBP, SDR16C5, SEPT10, SFRP1, SGK3, SHARPIN, SLA, SLC10A5, SLC16A3, SLC22A4, SLC25A32, SLC26A7, SLC30A8, SLC39A4, SLC45A4, SLC52A2, SLC7A13, SLCO5A1, SLURP1, SMLR1, SMPD2, SNAI2, SNTB1, SNTG1, SNX16, SNX31, SOX17, SOX5, SPAG1, SPATC1, SPIDR, SQLE, ST18, ST3GAL1, STAR, STAU2, STK3, STMN2, SULF1, SYBU, TACC1, TATDN1, TBC1D2, TBC1D31, TBCK, TCEA1, TCF24, TERF1, TFAP2C, TG, THEM6, TIGD5, TMEM249, TMEM55A, TMEM64, TMEM65, TMEM67, TMEM68, TMEM69, TMEM70, TMEM71, TMEM74, TNFRSF11B, TOP1MT, TOX, TP53INP1, TPD52, TPM4, TRAM1, TRAPPC9, TRHR, TRIB1, TRIM55, TRIM60, TRMT12, TRPA1, TRPS1, TSNARE1, TSTA3, TTPA, TXNDC2, UBE2V2, UBE2W, UBXN2B, UQCRB, VCPIP1, VPS13B, VPS28, WDYHV1, WISP1, WWP1, XKR4, XKR9, YWHAZ, ZBTB10, ZC2HC1A, ZC3H3, ZFAND1, ZFAT, ZFHX4, ZFP41, ZFPM2, ZHX1, ZHX2, ZMAT4, ZNF16, ZNF250, ZNF318, ZNF34, ZNF395, ZNF517, ZNF572, ZNF623, ZNF679, ZNF696, ZNF7, ZNF704, ZNF706, ZNF707",Breast,1.72E-05,0.011221
237,"ACTB, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CORO1C, CRB3, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, F11R, FAM129B, FAM49B, FERMT2, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, RAB35, RAC1, RALGAPB, RAP1GDS1, RAP2B, RAPGEF1, RAPH1, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, UNC45A, VCL, WWC1, WWTR1, YWHAE",Ovary,1.74E-05,0.00899
238,"ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, QRICH1, QSER1, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TOB1, TRPS1, ZNF652",Skin,1.82E-05,0.002164
239,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ANKS3, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CCNE1, CDC42, CDH1, CDH2, CERS2, CHUK, COL4A3BP, CRB3, CRK, CRKL, CSNK2A1, CTNNA1, CTNND1, DLG5, DOCK5, ELMO2, F11R, FAM49B, FERMT1, FERMT2, FNDC3B, FRYL, GNA13, HNF1B, ILK, INADL, IQGAP1, IRF6, ITGA3, ITGAV, ITGB1, ITGB5, KIDINS220, KIRREL, KLF6, KMT2D, LATS2, LIMS1, LLGL2, LPAR1, LPAR2, MAP4K4, MARK2, MARK3, MECOM, MESDC2, MLLT4, MOB4, MPP5, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAX8, PDCD10, PDCL, PHACTR4, PIGW, PKN2, PLXNA1, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAB11FIP1, RAC1, RALGAPB, RAPGEF1, RAPGEF2, RAPH1, RASAL2, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, RSU1, SAV1, SGK223, SPTLC2, SPTSSA, TAOK1, TAX1BP3, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWTR1, XPR1, YES1",Ovary,1.89E-05,0.00899
240,"BATF3, IKZF1, IL6ST, JAK1, LIF, LIFR, PTPN1, PTPN2, SBNO2, SLC39A1, SOCS3, STAT3",Haematopoietic/lymphoid,2.01E-05,0.004776
241,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD3, BTBD9, CAB39, CAND1, CD151, CD44, CDC42, CDH1, CDH2, CMIP, COL4A3BP, COMMD3, CRB3, CRK, CRKL, CSK, CTNNA1, CTNND1, CUL3, CYFIP1, DAPK3, DLG5, DOCK5, ELMO2, ELMO3, F11R, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRMD6, FRYL, GNA13, GNB1, HSP90B1, ILK, INADL, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, KLF6, LATS2, LIMS1, LLGL2, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB2, MOB4, MPP5, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRBP1, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAWR, PAX8, PDCD10, PDCL, PI4KB, PKN2, PLXNA1, PPM1F, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RASSF8, RHOA, RHOG, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SLMAP, SNX17, SPTLC2, SPTSSA, SRC, STIP1, STK11, STK24, STK38, STRIP1, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, TSC22D2, VASP, VCL, WASF2, WNK1, WWC1, WWTR1, XPR1, YES1",Pancreas,2.01E-05,0.004776
242,"APCDD1L, ATP9A, BMP7, C20orf197, CASS4, CTSZ, CYP24A1, FAM209A, FAM209B, GNAS, MTRNR2L3, PCK1, PHACTR3, PMEPA1, RBM38, TFAP2C, ZNF831",Skin,2.05E-05,0.002327
243,"APCDD1L, ATP9A, BMP7, C20orf197, CASS4, CTCFL, CTSZ, FAM209A, FAM209B, GNAS, MTRNR2L3, PMEPA1, RBM38, TFAP2C, TSHZ2, TUBB1, ZNF831",Skin,2.05E-05,0.002327
244,"ABCC4, ETV6, GRAMD4, POM121L2, PRR4, SLC13A4",Bone,2.06E-05,0.013434
245,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD3, BTBD9, CAB39, CAND1, CD151, CD44, CDC42, CDH1, CDH2, CMIP, COL4A3BP, COMMD3, CRB3, CRK, CRKL, CSK, CTNNA1, CTNND1, CUL3, CYFIP1, DAPK3, DLG5, DOCK5, ELMO2, ELMO3, F11R, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRMD6, FRYL, GNA13, GNB1, HSP90B1, ILK, INADL, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, KLF6, LATS2, LIMS1, LLGL2, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB2, MOB4, MPP5, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRBP1, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAWR, PAX8, PDCD10, PDCL, PI4KB, PKN2, PLXNA1, PPM1F, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RASSF8, RHOA, RHOG, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SLMAP, SNX17, SPTLC2, SPTSSA, SRC, STIP1, STK11, STK24, STK38, STRIP1, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, TSC22D2, VASP, VCL, WASF2, WNK1, WWC1, WWTR1, XPR1, YES1",Ovary,2.35E-05,0.010254
246,"APCDD1L, ATP9A, BCAS1, BMP7, C20orf197, CASS4, CBLN4, CTSZ, FAM209A, FAM209B, GNAS, MTRNR2L3, PCK1, PMEPA1, RAB22A, RBM38, TFAP2C, TSHZ2, VAPB, ZNF831",Skin,2.41E-05,0.002678
247,"ABCA13, ABHD14A, ABHD14B, ABHD5, ABHD6, ACAA1, ACKR2, ACOX2, ACVR2B, ACY1, ADAMTS9, AKNA, ALAS1, ALS2CL, AMIGO3, AMT, ANKRD28, ANO10, APEH, APPL1, ARHGEF3, ARIH2OS, ARL6IP5, ARL8B, ARPP21, ASB14, ATP2B2, ATRIP, ATXN7, AZI2, BARX1, BRK1, BSN, BTD, C3orf18, C3orf20, C3orf35, C3orf62, C3orf84, C5orf20, CACNA1D, CACNA2D2, CACNA2D3, CADM2, CADPS, CAMK1, CAMK1G, CAMKV, CAMP, CAND2, CAPN7, CAV3, CCDC12, CCDC13, CCDC174, CCDC36, CCDC66, CCDC71, CCK, CCR1, CCR2, CCR3, CCR4, CCR5, CCR8, CCR9, CCRL2, CDC25A, CDHR4, CELSR3, CGGBP1, CHDH, CHMP2B, CIDEC, CISH, CLEC3B, CLVS1, CMTM6, CMTM7, CNTN3, COL7A1, COLEC12, COLQ, CPNE9, CRBN, CRELD1, CRHR1, CRTAP, CSPG5, CSRNP1, CTDSPL, CXCL11, CXCR6, CYB561D2, CYP11A1, CYP8B1, CYTH3, DAG1, DALRD3, DAZL, DCLK3, DENND6A, DLEC1, DNAH1, DNAH12, DNASE1L3, DOCK3, DUSP7, EBLN2, EDEM1, EGR4, EIF1B, EIF4E3, ENAM, ENTPD3, EOGT, EOMES, EPHA3, EPM2AIP1, ERC2, EXOG, FAM107A, FAM198A, FAM19A1, FAM19A4, FAM208A, FAM212A, FAM3D, FANCD2OS, FBXW12, FEZF2, FGD5, FLNB, FOXP1, FRG2C, FRMD4B, FYCO1, GADL1, GALNT15, GBE1, GHRL, GLB1, GLT8D1, GLYCTK, GNAI2, GNAT1, GORASP1, GPD1L, GPR27, GPR62, GPX1, GRM2, GRM7, GXYLT2, HACL1, HEMK1, HESX1, HHATL, HIGD1A, HOMER1, HOXA9, HRH1, HTR1F, HYAL1, HYAL2, HYAL3, IFRD2, IL17RB, IL17RC, IL17RD, IL17RE, IL5RA, IP6K1, IP6K2, IQCF1, IQCF2, IQCF3, IQCF5, IQCF6, IQSEC1, IRAK2, ITGA9, ITIH1, ITIH3, ITIH4, ITPR1, JAKMIP3, KAT2B, KBTBD8, KCNH8, KCTD6, KIAA1143, KIF9, KLHDC8B, KLHL18, KLHL40, KRBOX1, LAMB2, LHFPL4, LIMD1, LMOD3, LRIG1, LRRC2, LRRC3B, LRRFIP2, LRTM1, LSMEM2, LTF, LYZL4, LZTFL1, MAGI1, MANF, MAP4, MAPKAPK3, MEOX2, METTL6, MKRN2, MKRN2OS, MLH1, MOBP, MON1A, MST1, MST1R, MTMR11, MUSTN1, MYD88, MYL3, MYRIP, NAA60, NAT6, NAT8, NBEAL2, NCKIPSD, NDUFAF3, NEK10, NEK4, NEUROG1, NICN1, NISCH, NKIRAS1, NPRL2, NR1D2, NT5DC2, NUDT13, NUP210, NXNL1, OGG1, OSBPL10, OXNAD1, OXSR1, P4HTM, PARP3, PCBP4, PDZRN3, PFKFB4, PHF7, PLCD1, PLCL2, PLXNB1, PODXL2, POMGNT2, POU1F1, PP2D1, PPARG, PPM1M, PPP2R3A, PRICKLE2, PRKAR2A, PRKCD, PROK2, PRRT3, PRSS42, PRSS45, PRSS46, PRSS50, PSD2, PTH1R, PTPRG, QRFP, QRICH1, RAD18, RAD54L2, RARB, RASSF1, RBM15B, RBM5, RBM6, RBMS3, RFTN1, RNF123, ROBO1, ROBO2, RTP3, SARDH, SATB1, SCN10A, SCN11A, SCN5A, SEC22C, SELK, SEMA3F, SEMA3G, SETD2, SETD5, SETMAR, SH3BP5, SHISA5, SLC22A1, SLC22A13, SLC22A14, SLC25A20, SLC25A38, SLC26A6, SLC6A1, SLC6A11, SLC6A20, SMIM4, SNRK, SNTN, SPATA12, SPCS1, SPINK8, SRGAP3, STAB1, STAC, STX6, SUCLG2, SUMF1, SUSD5, SYN3, SYNPR, TATDN2, TBC1D5, TCAIM, TCTA, TDGF1, TEX264, TEX43, TGFBR2, TGM4, THOC7, THRB, THUMPD3, TLR9, TMA7, TMEM110, TMEM115, TMEM158, TMEM40, TMEM42, TMEM43, TMEM89, TMF1, TMIE, TMPPE, TNNC1, TOP2B, TOPAZ1, TPM4, TRAK1, TRANK1, TREX1, TRIM71, TTC21A, TTLL3, TUSC2, TWF2, UBA7, UBE2E1, UBE2E2, UBP1, UCN2, UGT2A2, ULK4, USP19, USP4, VGLL3, VGLL4, VILL, VIPR1, WDR6, WNT5A, WNT7A, XCR1, XIRP1, XXYLT1, XYLB, ZBTB47, ZCCHC24, ZCWPW2, ZDHHC3, ZKSCAN7, ZMYND10, ZNF197, ZNF211, ZNF35, ZNF385D, ZNF445, ZNF485, ZNF501, ZNF502, ZNF589, ZNF619, ZNF620, ZNF621, ZNF654, ZNF660, ZNF662, ZNF860",Urinary tract,3.64E-05,0.031719
248,"ASH1L, BAHD1, BAP1, BCL9L, BMI1, BRPF1, CCDC101, CCDC71L, CDYL, CITED2, CRAMP1L, DOT1L, EED, ERBB2, ERBB3, ESR1, EZH2, FOXA1, GATA3, GRHL1, GRHL2, HIST1H1B, ING5, JADE2, KAT6A, KAT6B, KAT7, KMT2A, KMT2D, LDB1, LMX1B, MEAF6, MED15, MED19, MEN1, MLLT1, MLLT10, MTF2, NSD1, PCGF1, PHLDA2, PSIP1, PYGO2, QRICH1, QSER1, RARA, RBM38, RING1, SEPHS1, SIAH1, SIRT1, SMARCE1, SMCHD1, SPDEF, SUPT20H, SUZ12, TADA1, TADA2B, TAF5L, TFAP2A, TFAP2C, TOB1, TRPS1, ZFP64, ZMIZ1, ZNF652",Large intestine,3.67E-05,0.01237
249,"CBL, GAB1, GRB2, LZTR1, NF1, NRAS, PTPN11, RAF1, SHOC2, SOS1, SOS2, SPRED1, SPRED2",Upper aerodigestive tract,3.74E-05,0.081682
250,"ARID1A, ASH1L, BAHD1, BAP1, BCL11A, BCL2, BCL9L, BMI1, BRPF1, CCDC71L, CITED2, CRAMP1L, DOT1L, EED, ESR1, EZH2, FOXA1, GAB2, GATA3, GFI1, GRHL2, HIST1H1B, ING5, IRF8, JADE2, KAT6A, KAT6B, KAT7, KMT2A, KMT2D, LDB1, LMX1B, MAML1, MEAF6, MEF2D, MEN1, MLLT1, MLLT10, MORF4L1, MTA2, MTF2, NSD1, PCGF1, PRDM15, PSIP1, PYGO2, QRICH1, QSER1, RARA, RBM38, RING1, SEPHS1, SIAH1, SLC5A3, SMARCB1, SMARCE1, SMCHD1, SPDEF, STAT5B, SUZ12, TFAP2A, TFAP2C, TOB1, TRPS1, ZBTB2, ZFP64, ZMIZ1, ZNF652",Large intestine,3.79E-05,0.01237
251,"AKR1B1, CDH11, FAM19A5, FEZF1, NPTN, PGAP3, STEAP2, THAP2",Bone,4.05E-05,0.023511
252,"ABCC9, ACRBP, AEBP2, AK4, ALG10, AMN1, ARNTL2, BCAT1, BCL2L14, BHLHE41, BICD1, C12orf60, C12orf71, C12orf77, C2CD5, C3AR1, CAPRIN2, CAPZA3, CASC1, CDKN1B, CLEC6A, DENND5B, ERGIC2, ETNK1, FAM60A, FAR2, GPR162, GPR19, GPRC5D, GRIN2B, GYS2, H3F3C, HIST4H4, IAPP, IL17RE, IPO8, ITPR2, KCNJ8, KIAA1551, KLHL3, KLHL42, KLRC1, KLRG1, KRAS, LMNTD1, LMO3, LRMP, MANSC1, MANSC4, METTL20, MFAP5, MGST1, PDE3A, PDE6H, PIANP, PIK3C2G, PKP2, PLCZ1, PLEKHA5, PPFIBP1, PRB4, PTHLH, RASSF8, RECQL, REP15, RERG, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1C1, SOX5, SPX, SSPN, ST8SIA1, STK38L, SYT10, TDG, TM7SF3, TMTC1, TSPAN11, VAMP1, YBX3",Large intestine,4.42E-05,0.013587
253,"C11orf70, FAM76B, KIAA1377, MAML2, MMP7, PGR",Ovary,4.68E-05,0.018806
254,"CUZD1, DPYSL4, HIST1H3E, IKZF5, PAOX, PPAPDC1A, RGS10, STK32C, TEX36",Upper aerodigestive tract,4.69E-05,0.081682
